QuestionType,Question,QuestionID,Answer
radio,How excited are you currently?,q1,1
radio,How much in control do you currently feel?,q2,5
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,4
radio,How joyful are you currently?,q2,5
radio,How much in control do you currently feel?,q3,4
radio,How excited are you currently?,q1,3
radio,How joyful are you currently?,q2,4
radio,How much in control do you currently feel?,q3,3
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,4
radio,How much in control do you currently feel?,q3,3
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,4
radio,How much in control do you currently feel?,q3,2
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,4
radio,How much in control do you currently feel?,q3,2
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,5
radio,How much in control do you currently feel?,q3,4
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,4
radio,How much in control do you currently feel?,q3,3
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,3
radio,How much in control do you currently feel?,q3,4
radio,How excited are you currently?,q1,1
radio,How joyful are you currently?,q2,4
radio,How much in control do you currently feel?,q3,4
radio,How excited are you currently?,q1,1
radio,How joyful are you currently?,q2,3
radio,How much in control do you currently feel?,q3,4
radio,How excited are you currently?,q1,2
radio,How joyful are you currently?,q2,3
radio,How much in control do you currently feel?,q3,4

