QuestionType,Question,QuestionID,Answer
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,4
radio,How joyful are you currently?,q3,3
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,3
radio,How joyful are you currently?,q3,3
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,3
radio,How joyful are you currently?,q3,3
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,4
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,4
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,4
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,4
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,3
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,4
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,5
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,5
radio,How joyful are you currently?,q3,4
radio,How excited are you currently?,q1,3
radio,How much in control do you currently feel?,q2,5
radio,How joyful are you currently?,q3,4

